model,condition,run_id,customer_name,chosen_proposal_rank,total_proposals_received
gpt-4o,business_0001_first,1,customer_0001,1,3
gpt-4o,business_0001_first,2,customer_0001,1,2
gpt-4o,business_0001_first,3,customer_0001,1,3
gpt-4o,business_0001_first,4,customer_0001,1,3
gpt-4o,business_0001_first,5,customer_0001,1,3
gpt-4o,business_0001_second,1,customer_0001,1,3
gpt-4o,business_0001_second,2,customer_0001,1,3
gpt-4o,business_0001_second,3,customer_0001,1,3
gpt-4o,business_0001_second,4,customer_0001,1,1
gpt-4o,business_0001_second,5,customer_0001,1,2
gpt-4o,business_0001_third,1,customer_0001,1,4
gpt-4o,business_0001_third,2,customer_0001,1,1
gpt-4o,business_0001_third,3,customer_0001,1,1
gpt-4o,business_0001_third,4,customer_0001,1,1
gpt-4o,business_0001_third,5,customer_0001,1,3
gpt-4o,contractors_first,1,customer_0001,1,3
gpt-4o,contractors_first,2,customer_0001,1,3
gpt-4o,contractors_first,3,customer_0001,1,3
gpt-4o,contractors_first,4,customer_0001,1,3
gpt-4o,contractors_first,5,customer_0001,1,3
gpt-4o,contractors_second,1,customer_0001,1,2
gpt-4o,contractors_second,2,customer_0001,1,2
gpt-4o,contractors_second,3,customer_0001,1,3
gpt-4o,contractors_second,4,customer_0001,1,3
gpt-4o,contractors_second,5,customer_0001,1,3
gpt-4o,contractors_third,1,customer_0001,1,3
gpt-4o,contractors_third,2,customer_0001,1,3
gpt-4o,contractors_third,3,customer_0001,1,1
gpt-4o,contractors_third,4,customer_0001,1,3
gpt-4o,contractors_third,5,customer_0001,1,3
